id,category,sub_category,material,color,occasion,brand,title,,fit,sleeve_length,neck,waist_rise,closure,print_or_pattern_type,shape,length,collar,preprocessed_product_details
100000,men,tshirts,cotton,white,"Everyday wear, Casual outings",allen solly,printed polo collar pure cotton tshirt,,regular fit,,polo collar,,button,,,regular,,white lavender tshirt men geometric printed regular length polo collar short regular sleeves knitted pure cotton fabric button closure
100001,men,tshirts,cotton,blue,"Everyday wear, Casual outings",allen solly,polo collar tshirt,,regular fit,,polo collar,,,,,regular,,blue black white tshirt men solid regular length polo collar short regular sleeves knitted cotton fabric
100002,men,tshirts,cotton,pink,"Everyday wear, Casual outings",allen solly,dropshoulder sleeves relaxed fit pure cotton tshirt,,relaxed fit,,round neck,,,,,regular,,pink tshirt men solid regular length round neck short dropshoulder sleeves knitted pure cotton fabric
100003,men,tshirts,cotton,beige,"Everyday wear, Casual outings",allen solly,striped polo collar tshirt,,regular fit,,polo collar,,,,,regular,,teal beige tshirt men striped regular length polo collar short regular sleeves knitted cotton fabric
100004,men,tshirts,cotton,white,"Everyday wear, Casual outings",bewakoof,men white oversized tshirt,,oversized,,round neck,,,,,regular,,white tshirt men solid regular length round neck short regular sleeves knitted cotton fabric
100005,men,tshirts,cotton,white,"Everyday wear, Casual outings",bushirt,striped round neck tshirt,,regular fit,,round neck,,,,,regular,,brown white tshirt men striped regular length round neck short regular sleeves knitted cotton fabric
100006,men,tshirts,cotton,black,"Everyday wear, Casual outings",color capital,men black  pink colourblocked boxy pure cotton tshirt,,boxy,,round neck,,,,,regular,,black pink tshirt men colourblocked regular length round neck short regular sleeves knitted cotton fabric
100007,men,tshirts,cotton,blue,"Everyday wear, Casual outings",color capital,men polo collar cotton tshirt,,regular fit,,polo collar,,button,,,regular,,blue tshirt men solid regular length polo collar short regular sleeves knitted cotton fabric button closure
100008,men,tshirts,cotton,blue,"Everyday wear, Casual outings",color capital,round neck cotton tshirt,,regular fit,,round neck,,,,,regular,,blue tshirt men solid regular length round neck short regular sleeves knitted cotton fabric
100009,men,tshirts,cotton,red,"Everyday wear, Casual outings",color capital,round neck cotton tshirt,,regular fit,,round neck,,,,,regular,,red tshirt men solid regular length round neck short regular sleeves knitted cotton fabric
100010,men,tshirts,cotton,white,"Everyday wear, Casual outings",color capital,round neck cotton tshirt,,regular fit,,round neck,,,,,regular,,white tshirt men solid regular length round neck short regular sleeves knitted cotton fabric
100011,men,tshirts,cotton,red,"Everyday wear, Casual outings",color capital,round neck cotton tshirt,,regular fit,,round neck,,,,,regular,,red tshirt men solid regular length round neck short regular sleeves knitted cotton fabric
100012,men,tshirts,cotton,,"Everyday wear, Casual outings",color capital,round neck cotton tshirt,,regular fit,,round neck,,,,,regular,,tshirt unisex solid self design regular length round neck short regular sleeves knitted cotton fabric
100013,men,tshirts,cotton,,"Everyday wear, Casual outings",color capital,round neck cotton tshirt,,regular fit,,round neck,,,,,regular,,tshirt unisex solid regular length round neck short regular sleeves knitted cotton fabric
100014,men,tshirts,cotton,,"Everyday wear, Casual outings",color capital,round neck cotton tshirt,,regular fit,,round neck,,,,,regular,,tshirt unisex solid regular length round neck short regular sleeves knitted cotton fabric
100015,men,tshirts,cotton,,"Everyday wear, Casual outings",color capital,round neck short sleeves cotton tshirt,,regular fit,,round neck,,,,,regular,,tshirt men solid regular length round neck short regular sleeves knitted cotton fabric
100016,men,tshirts,cotton,yellow,"Everyday wear, Casual outings",color capital,round neck short sleeves cotton tshirt,,regular fit,,round neck,,,,,regular,,yellow tshirt men solid regular length round neck short regular sleeves knitted cotton fabric
100017,men,tshirts,cotton,blue,"Everyday wear, Casual outings",color capital,round neck short sleeves cotton tshirt,,regular fit,,round neck,,,,,longline,,blue tshirt men solid regular length round neck short regular sleeves knitted cotton fabric
100018,men,tshirts,cotton,blue,"Everyday wear, Casual outings",color capital,set of 4 unisex solid pure cotton tshirts,,regular fit,,round neck,,,,,regular,,set of blue brown grey tshirt unisex solid regular length round neck short regular sleeves
100019,men,tshirts,cotton,pink,"Everyday wear, Casual outings",color capital,unisex geometric solid round neck cotton tshirt,,regular fit,,round neck,,,,,longline,,pink tshirt unisex geometric longline length round neck short sleeves knitted
100020,men,tshirts,cotton,brown,"Everyday wear, Casual outings",color capital,unisex graphic printed round neck short sleeves oversized cotton tshirt,,oversized,,round neck,,,,,regular,,brown tshirt unisex graphic printed regular length round neck short regular sleeves knitted cotton fabric
100021,men,tshirts,cotton,black,"Everyday wear, Casual outings",color capital,unisex graphic printed round neck short sleeves oversized cotton tshirt,,oversized,,round neck,,,,,regular,,black tshirt unisex graphic printed regular length round neck short regular sleeves knitted cotton fabric
100022,men,tshirts,cotton,white,"Everyday wear, Casual outings",color capital,unisex henley neck raw edge tshirt,,regular fit,,henley neck,,,,,longline,,white tshirt unisex solid longline length henley neck long raglan sleeves knitted cotton fabric
100023,men,tshirts,cotton,black,"Everyday wear, Casual outings",color capital,unisex pack of 2 solid round neck cotton tshirts,,regular fit,,round neck,,,,,regular,,black olive tshirt unisex solid regular length round neck short sleeves knitted
100024,men,tshirts,cotton,green,"Everyday wear, Casual outings",color capital,unisex pack of 3 cotton tshirts,,regular fit,,round neck,,,,,regular,,peach grey green tshirt unisex solid regular length round neck short sleeves knitted
100025,men,tshirts,cotton,blue,"Everyday wear, Casual outings",color capital,unisex pack of 3 cotton tshirts,,regular fit,,round neck,,,,,regular,,peach navy blue black tshirt unisex solid regular length round neck short sleeves knitted
100026,men,tshirts,cotton,blue,"Everyday wear, Casual outings",color capital,unisex pack of 3 regular fit cotton tshirts,,regular fit,,round neck,,,,,regular,,pack of tshirt unisex bluewhitepink solid round neck short regular sleeves regular length cotton fabric
100027,men,tshirts,cotton,blue,"Everyday wear, Casual outings",color capital,unisex pack of 4 cotton tshirts,,regular fit,,round neck,,,,,regular,,blue tshirt unisex solid regular length round neck short sleeves knitted
100028,men,tshirts,cotton,,"Everyday wear, Casual outings",color capital,unisex solid round neck cotton tshirt,,regular fit,,round neck,,,,,regular,,charcoal tshirt unisex solid regular length round neck short sleeves knitted
100029,men,tshirts,cotton,grey,"Everyday wear, Casual outings",color capital,unisex solid round neck cotton tshirt,,regular fit,,round neck,,,,,longline,,grey tshirt unisex solid longline length round neck short sleeves knitted
100030,men,tshirts,cotton,,"Everyday wear, Casual outings",color capital,unisex solid round neck cotton tshirt,,regular fit,,round neck,,,,,regular,,steel tshirt unisex solid regular length round neck short sleeves knitted
100031,men,tshirts,cotton,,"Everyday wear, Casual outings",color capital,unisex solid round neck cotton tshirt,,regular fit,,round neck,,,,,regular,,mustard tshirt unisex solid regular length round neck short sleeves knitted
100032,men,tshirts,cotton,red,"Everyday wear, Casual outings",color capital,unisex solid round neck cotton tshirt,,regular fit,,round neck,,,,,longline,,black red tshirt unisex solid longline length round neck short sleeves knitted
100033,men,tshirts,cotton,pink,"Everyday wear, Casual outings",color capital,unisex solid round neck cotton tshirt,,regular fit,,round neck,,,,,longline,,pink cream tshirt unisex solid longline length round neck short sleeves knitted
100034,men,tshirts,cotton,blue,"Everyday wear, Casual outings",color capital,unisex solid round neck cotton tshirt,,regular fit,,round neck,,,,,longline,,blue green tshirt unisex solid longline length round neck short sleeves knitted
100035,men,tshirts,cotton,green,"Everyday wear, Casual outings",color capital,unisex solid round neck cotton tshirt,,regular fit,,round neck,,,,,longline,,orange green tshirt unisex solid longline length round neck short sleeves knitted
100036,men,tshirts,cotton,black,"Everyday wear, Casual outings",color capital,unisex typography printed round neck cotton oversized tshirt,,oversized,,round neck,,,,,regular,,black white pink tshirt unisex typography regular length round neck threequarter dropshoulder sleeves knitted
100037,men,tshirts,cotton,red,"Everyday wear, Casual outings",color capital,unisex typography printed round neck cotton oversized tshirt,,oversized,,round neck,,,,,longline,,white green red tshirt unisex typography longline length round neck threequarter dropshoulder sleeves knitted
100038,men,tshirts,cotton,red,"Everyday wear, Casual outings",color capital,unisex typography printed round neck cotton oversized tshirt,,oversized,,round neck,,,,,regular,,coral red black tshirt unisex typography regular length round neck threequarter dropshoulder sleeves knitted
100039,men,tshirts,cotton,red,"Everyday wear, Casual outings",color capital,unisex typography printed round neck cotton oversized tshirt,,oversized,,round neck,,,,,longline,,black yellow red tshirt unisex typography longline length round neck threequarter dropshoulder sleeves knitted
100040,men,tshirts,cotton,black,"Everyday wear, Casual outings",color capital,unisex typography printed round neck cotton oversized tshirt,,oversized,,round neck,,,,,longline,,black white yellow tshirt unisex typography longline length round neck threequarter dropshoulder sleeves knitted
100041,men,tshirts,cotton,black,"Everyday wear, Casual outings",color capital,unisex typography printed round neck cotton relaxed fit tshirt,,relaxed fit,,round neck,,,,,regular,,pink black tshirt unisex typography regular length round neck threequarter dropshoulder sleeves knitted
